pred_remaining_heat_mean,remaining_heat,horizon_bucket,city
2.721799724623364,2.1999999999999993,h4,NYC
9.120607230518221,8.500000000000004,h8,ANK
2.184072042774753,3.0,h8,WLG
5.698061275418905,7.0,h7,DAL
2.7331037162079896,3.0,h4,WLG
3.3182948708527364,2.2,h5,SEA
2.090286014648499,3.0,h2,SEL
9.254656031150523,9.0,h8,ATL
0.6294139743801995,0.1999999999999993,h1,SEA
3.742043625220177,2.0,h7,PAR
4.596131862433592,4.800000000000001,h7,MIA
0.5300225823215529,0.0,h2,ANK
7.160596708507188,7.300000000000001,h2,DAL
3.385097734944469,3.5,h6,LON
3.542517232012039,5.0,h5,SEA
2.640639080916383,4.199999999999999,h4,LON
1.6591930365564258,2.0,h3,BUE
5.644047598208105,6.0,h9,SEL
6.3779263511768205,3.0,h9,ATL
5.490685770777972,3.3000000000000007,h4,BUE
5.481298871971736,7.0,h9,MIA
3.7139998505875793,4.0,h5,PAR
3.8785642374756857,4.0,h5,ATL
0.44261641839675064,0.5,h1,NYC
1.3317185460231888,0.40000000000000036,h3,TOR
2.5928520304494596,3.0,h7,WLG
8.380274947126587,6.0,h9,CHI
2.2927964599404844,1.9999999999999991,h4,SEA
4.626245666804567,5.0,h8,SEL
0.9152330213092768,1.1000000000000014,h3,ATL
2.3625184007605093,0.7000000000000002,h8,LON
1.5086002280956785,1.0,h3,SEL
2.0696701094831234,3.0999999999999996,h7,ANK
0.9072673212678589,0.0,h2,ATL
1.806735165155938,1.3000000000000007,h5,MIA
6.366253534299616,6.0,h9,WLG
4.05942558628356,3.8,h6,LON
4.81894441225201,5.0,h6,PAR
1.7652920922177695,0.20000000000000284,h5,LON
1.4661728085888195,1.0,h3,WLG
4.150880699517726,2.8999999999999995,h6,SEA
4.711713927349567,4.0,h5,SEL
0.984806094214416,0.5999999999999996,h3,LON
0.10050066311614554,0.0,h3,WLG
1.2717948101292167,2.0,h3,PAR
4.295189823321547,4.400000000000002,h1,NYC
2.196163338065695,4.0,h5,MIA
1.4757871170833863,1.0,h2,WLG
8.671912498403671,11.5,h8,BUE
0.3929166239810336,0.09999999999999964,h2,LON
3.9333734711768296,2.8000000000000007,h5,LON
0.7980325756279698,1.0,h2,BUE
3.758091951589031,6.0,h5,SEL
7.011374741640514,8.0,h6,DAL
4.105462758123991,2.8000000000000007,h7,MIA
2.994959896055809,3.0,h1,BUE
0.735569183303025,0.6000000000000014,h1,ATL
8.556366767320775,6.000000000000001,h6,ANK
18.771937656276503,20.1,h9,ANK
1.4189672616968096,0.0,h3,SEA
0.1981930543246711,0.0,h1,MIA
7.96103240580891,7.800000000000001,h7,DAL
2.538950261631677,3.0,h8,WLG
3.096859769691663,3.0,h5,BUE
0.6926459720009961,0.0,h2,LON
1.1707957697971212,2.0,h2,ANK
6.438620472114458,6.699999999999999,h8,CHI
5.227323438953488,5.0,h9,PAR
0.358957849213772,0.0,h1,PAR
8.893044727253832,10.299999999999999,h9,LON
6.522279271886256,7.0,h8,SEL
11.615616962062305,11.0,h6,CHI
2.7582044367060767,2.5,h3,TOR
5.457352739530896,8.0,h8,SEA
2.3702895253952287,2.0999999999999996,h3,LON
2.1395521043536454,0.0,h4,NYC
7.627734623523124,6.0,h9,SEA
2.0956528696851278,2.4000000000000004,h4,ANK
1.1225551571301629,1.6999999999999993,h3,ATL
2.997250316469422,3.0,h4,SEL
3.195904453733012,2.700000000000001,h9,LON
5.516100094643207,6.0,h4,SEA
8.76510659134523,6.0,h8,PAR
8.3146604109669,7.799999999999997,h9,DAL
1.7032887331559032,0.0,h5,SEA
0.805680997052164,0.0,h2,BUE
6.908858428728361,7.0,h6,ANK
4.294202077924525,7.0,h8,NYC
1.2351971337860406,0.0,h2,ATL
7.595268970632787,8.0,h8,ANK
5.394274721525038,6.0,h7,WLG
0.5920272664578542,0.0,h3,MIA
8.41451103302597,9.0,h7,WLG
5.412183194564802,5.0,h3,WLG
12.57711575426953,12.200000000000003,h9,BUE
2.7128956160516124,3.299999999999997,h3,ATL
