feature,importance_mean,importance_std,horizon_bucket
delta_temp_8h,0.0003049671235922924,0.0,h4
temp_lag_5h,0.0002833057948361528,0.0,h4
temp_lag_14h,0.00024387167536132903,0.0,h4
temp_lag_21h,0.00022250983067451102,0.0,h4
temp_lag_12h,0.000202040081976107,0.0,h4
temp_lag_23h,0.000181308699668703,0.0,h4
temp_lag_3h,0.00014013573354410003,0.0,h4
temp_lag_15h,0.00013023462634820238,0.0,h4
temp_lag_11h,0.00012037975315337679,0.0,h4
temp_lag_19h,0.00010673026738583502,0.0,h4
temp_roll_mean_12h,0.0001023366434392825,0.0,h4
rain_12h_sum,6.870415125115326e-05,0.0,h4
delta_temp_5h,3.1932518288035894e-05,0.0,h4
temp_lag_16h,3.1890808951606786e-05,0.0,h4
temp_lag_22h,1.4207842289448713e-05,0.0,h4
is_coastal_airport,0.0,0.0,h4
is_daylight,0.0,0.0,h4
is_raining,0.0,0.0,h4
delta_temp_1h,0.0,0.0,h4
is_us_airport,0.0,0.0,h4
hours_since_rain,-3.2374344804297905e-05,0.0,h4
temp_lag_7h,-5.7254262930461763e-05,0.0,h4
delta_temp_9h,-0.00011218908226573454,0.0,h4
rain_24h_sum,-0.000129021765232884,0.0,h4
rain_3h_sum,-0.0001855680994853337,0.0,h4
longitude,-0.0002072284750894715,0.0,h4
delta_cldc_6h,-0.0002299492365147593,0.0,h4
delta_temp_7h,-0.00030569063744023683,0.0,h4
rain_6h_sum,-0.0003563930530716686,0.0,h4
solar_heating_efficiency,-0.0003786385595850872,0.0,h4
delta_cldc_3h,-0.000811272773331928,0.0,h4
temp_lag_4h,-0.001445634870241852,0.0,h4
solar_hour_angle_deg,0.2008889864843354,0.0,h3
delta_temp_18h,0.12710674937693978,0.0,h3
city,0.09798527868068907,0.0,h3
delta_temp_17h,0.08031877243481877,0.0,h3
delta_temp_20h,0.0672997246052619,0.0,h3
rhum,0.059608093197637047,0.0,h3
delta_temp_19h,0.05399052136941418,0.0,h3
temp_roll_std_12h,0.027480534261983602,0.0,h3
wdir,0.02504241401744045,0.0,h3
delta_temp_23h,0.024595671951307185,0.0,h3
